,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude
83,Iran,4888.0,17.98,37.39,Tehran,35.7,51.416667
84,Ghana,4872.0,16.82,36.2,Accra,5.55,-0.216667
85,Turkey,4744.0,32.88,28.31,Ankara,39.93333333333333,32.866667
86,Cambodia,4640.0,13.32,49.11,Phnom Penh,11.55,104.916667
87,Uganda,4603.0,11.41,33.5,Kampala,0.3166666666666666,32.55
88,Nigeria,4552.0,9.34,30.49,Abuja,9.083333333333334,7.533333
89,Kenya,4543.0,32.18,33.92,Nairobi,-1.2833333333333332,36.816667
90,Tunisia,4516.0,27.83,27.87,Tunis,36.8,10.183333
91,Pakistan,4516.0,26.63,19.92,Islamabad,33.68333333333333,73.05
92,Myanmar,4394.0,13.84,35.67,Rangoon,16.8,96.15
93,Sri Lanka,4362.0,19.27,31.29,Colombo,6.916666666666667,79.833333
94,Egypt,4288.0,21.54,29.52,Cairo,30.05,31.25
95,Ethiopia,4241.0,10.15,47.49,Addis Ababa,9.033333333333331,38.7
96,Jordan,4152.0,31.34,49.19,Amman,31.95,35.933333
97,India,3777.0,49.72,24.43,New Delhi,28.6,77.2
98,Zambia,3760.0,40.33,33.04,Lusaka,-15.416666666666666,28.283333
99,Tanzania,3702.0,15.97,32.81,Dar es Salaam,-6.8,39.283333
100,Zimbabwe,2995.0,19.07,45.68,Harare,-17.816666666666666,31.033333
101,Lebanon,2955.0,35.12,69.62,Beirut,33.86666666666667,35.5
102,Afghanistan,2404.0,23.04,20.37,Kabul,34.516666666666666,69.183333
