,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness","Prioritized Happiness, Purchasing, then Safety","Prioritized Happiness, Safety, then Purchasing","Prioritized Purchasing, Happiness, then Safety","Prioritized Purchasing, Safety, then Happiness","Prioritized Safety, Purchasing, then Happiness","Prioritized Safety, Happiness, then Purchasing"
0,0,0,0,0,Finland,7821.0,91.02,73.2,Helsinki,60.16666666666666,24.933333,380.3333333333333,27.76333333333333,72.23666666666666,1.0,0.7486709440879926,0.8129082013833658,1.490411998877473,1.878166202649857,1.1177363940400695,1.6050715663675263,2.711659577546449,3.4500510828048276,3.4933919273432466,3.115348036186454,2.947516347401624,3.031404035257174,3.2415869381228477
1,1,1,1,1,Denmark,7636.0,99.45,84.12,Copenhagen,55.66666666666666,12.583333,411.0,24.27,75.73,0.9658482554919696,0.8259395050412466,0.8634227460053504,1.536404164581729,1.7053239439150527,1.347331442195695,1.919170642170426,2.899421963527897,3.445282103979653,3.4727420135963727,3.258302448017519,3.170874138120997,3.220412498650255,3.3351337336619777
2,2,2,2,2,Iceland,7557.0,77.06,94.86,Reykjavik,64.15,-21.95,421.0,23.02,76.98,0.951264537566919,0.6207149404216316,0.8814980840141712,1.4377865383344248,1.631515628022893,1.429486158854435,1.0849264776120724,2.4253534556148884,3.2345517471610825,3.41138982082624,2.804325068392382,2.7350764238460847,3.072361016965424,3.3163615255394188
3,3,3,3,3,Switzerland,7512.0,118.44,123.35,Bern,46.91666666666666,7.466667,427.8333333333333,21.156666666666663,78.84333333333333,0.942957356470371,1.0,0.9084423878726532,1.6475545964262788,1.5894729164387515,1.5519514564870631,2.6267319054559617,3.4401595862001715,3.5815896969332037,3.5076469995467594,3.6581336602932004,3.6318368444158753,3.5094980730690684,3.461803352768651
4,4,4,4,4,Netherlands,7415.0,87.99,75.66,Amsterdam,52.35,4.916667,385.5,27.235,72.765,0.9250507661067012,0.7208982584784601,0.8205480442484275,1.431332355489734,1.4988475159129353,1.1524604542811638,1.4921747455273382,2.4085876454532227,3.233194483494672,3.303688991056559,2.961996533440542,2.8681290039413785,2.999031168971569,3.1626352642780247
5,5,5,5,5,Sweden,7384.0,98.14,71.74,Stockholm,59.333333333333336,18.05,220.4,44.884,55.116,0.9193280413513014,0.8139321723189734,0.5653387318342853,1.351760892489016,1.46988475904386,-0.0074984211669169,1.870360465503546,2.3788370482460675,3.2520803549095945,3.089885683405983,3.1084778111471576,2.8435832684635347,2.5241983494896623,2.63051567320994
6,6,6,6,6,Norway,7365.0,83.11,100.9,Oslo,59.91666666666666,10.75,361.4,29.610000000000003,70.39,0.9158205648883144,0.6761686526122823,0.786204902031668,1.3834917787346932,1.452133391930556,0.996366492629558,1.310347522523999,2.195096400019701,3.1615629202550792,3.2370082487292446,2.843916981426781,2.725075470508374,2.868903418726746,3.0618910181246712
7,7,7,7,7,Israel,7364.0,75.58,88.05,Jerusalem,31.766666666666666,35.233333,364.0,29.906666666666663,70.09333333333332,0.9156359608639468,0.6071494042163152,0.7819150218109077,1.348484598800083,1.4511991094509082,0.9768684398758828,1.0297821558815514,2.029951253766628,3.1034522089021523,3.2186484306024514,2.6986332733449654,2.569363191439367,2.795609186025493,3.037220301912782
8,8,8,8,8,New Zealand,7200.0,83.63,74.52,Wellington,-41.3,174.783333,259.0,41.27,58.73,0.885360900867639,0.6809349220898258,0.6175981490853878,1.2763086486662742,1.2979767827887034,0.2300272956368317,1.329722554483371,1.872383069058864,3.048096499342831,3.0073505924987662,2.773073112268701,2.5460999848578685,2.4640212379470956,2.65178719565605
9,9,9,9,9,Austria,7163.0,77.25,71.04,Vienna,48.2,16.366667,387.0,27.115,72.885,0.8785305519660329,0.6224564619615032,0.8222832766972744,1.3547759094814835,1.2634083310417423,1.1603473070804031,1.092005816212612,2.0334903950195087,3.028580748787494,3.1683425591658074,2.692671894870533,2.6388413181963895,2.8994779190592794,3.0919352926949584
10,10,10,10,10,Australia,7162.0,104.63,77.75,Canberra,-35.266666666666666,149.133333,212.4375,46.27375,53.72625,0.8783459479416651,0.8734188817598533,0.5452425710360783,1.3533815458141163,1.2624740485620949,-0.0988380351481039,2.112175768227249,2.4627009880152064,3.2081390355965627,2.982522896221359,3.2014060606964394,2.970924828479739,2.5492232008504803,2.5542967939350936
11,11,11,11,11,Ireland,7041.0,82.27,76.05,Dublin,53.31666666666667,-6.233333,250.2,42.074,57.926,0.8560088609931696,0.6684692942254812,0.6059720916781145,1.2437059714071834,1.1494258685247365,0.1771853818819305,1.2790493939742438,1.7287399570242976,2.957932976940386,2.9172624893524275,2.7055253893077515,2.4946383805214407,2.4134986104041616,2.5850871282709895
12,12,12,12,12,Germany,7034.0,103.08,65.58,Berlin,52.516666666666666,13.4,297.0,36.858,63.142,0.8547166328225956,0.8592117323556371,0.6813968621213217,1.3903549932121488,1.1428858911672035,0.5200005835555205,2.054423269117582,2.407746609554026,3.1610355248860214,3.028253000933883,3.1671228240409843,3.0384124911566737,2.8039677030723706,2.7998432177697037
